ppm,val
-1.196109,0.000024
-1.195742,0.000051
-1.195376,0.000062
-1.195009,0.000058
-1.194642,0.000049
-1.194276,0.000046
-1.193909,0.000048
-1.193542,0.000043
-1.193176,0.000023
-1.192809,-0.000007
-1.192442,-0.000031
-1.192076,-0.000037
-1.191709,-0.000027
-1.191342,-0.000022
-1.190976,-0.000036
-1.190609,-0.000073
-1.190242,-0.000120
-1.189876,-0.000160
-1.189509,-0.000185
-1.189142,-0.000208
-1.188776,-0.000236
-1.188409,-0.000261
-1.188042,-0.000268
-1.187676,-0.000254
-1.187309,-0.000232
-1.186942,-0.000213
-1.186575,-0.000198
-1.186209,-0.000184
-1.185842,-0.000178
-1.185475,-0.000180
-1.185109,-0.000181
-1.184742,-0.000178
-1.184375,-0.000176
-1.184009,-0.000175
-1.183642,-0.000164
-1.183275,-0.000139
-1.182909,-0.000107
-1.182542,-0.000079
-1.182175,-0.000057
-1.181809,-0.000040
-1.181442,-0.000030
-1.181075,-0.000034
-1.180709,-0.000059
-1.180342,-0.000099
-1.179975,-0.000134
-1.179609,-0.000144
-1.179242,-0.000130
-1.178875,-0.000109
-1.178509,-0.000092
-1.178142,-0.000080
-1.177775,-0.000077
-1.177408,-0.000086
-1.177042,-0.000106
-1.176675,-0.000126
-1.176308,-0.000134
-1.175942,-0.000126
-1.175575,-0.000109
-1.175208,-0.000096
-1.174842,-0.000087
-1.174475,-0.000074
-1.174108,-0.000053
-1.173742,-0.000032
-1.173375,-0.000017
-1.173008,-0.000001
-1.172642,0.000019
-1.172275,0.000048
-1.171908,0.000080
-1.171542,0.000108
-1.171175,0.000126
-1.170808,0.000133
-1.170442,0.000130
-1.170075,0.000115
-1.169708,0.000093
-1.169342,0.000064
-1.168975,0.000027
-1.168608,-0.000013
-1.168242,-0.000048
-1.167875,-0.000075
-1.167508,-0.000094
-1.167141,-0.000109
-1.166775,-0.000118
-1.166408,-0.000119
-1.166041,-0.000122
-1.165675,-0.000134
-1.165308,-0.000154
-1.164941,-0.000173
-1.164575,-0.000181
-1.164208,-0.000169
-1.163841,-0.000140
-1.163475,-0.000100
-1.163108,-0.000069
-1.162741,-0.000063
-1.162375,-0.000080
-1.162008,-0.000108
-1.161641,-0.000143
-1.161275,-0.000177
-1.160908,-0.000199
-1.160541,-0.000203
-1.160175,-0.000201
-1.159808,-0.000202
-1.159441,-0.000208
-1.159075,-0.000212
-1.158708,-0.000213
-1.158341,-0.000214
-1.157975,-0.000222
-1.157608,-0.000240
-1.157241,-0.000264
-1.156874,-0.000287
-1.156508,-0.000305
-1.156141,-0.000317
-1.155774,-0.000327
-1.155408,-0.000340
-1.155041,-0.000346
-1.154674,-0.000335
-1.154308,-0.000307
-1.153941,-0.000266
-1.153574,-0.000218
-1.153208,-0.000173
-1.152841,-0.000134
-1.152474,-0.000098
-1.152108,-0.000059
-1.151741,-0.000017
-1.151374,0.000020
-1.151008,0.000047
-1.150641,0.000073
-1.150274,0.000102
-1.149908,0.000127
-1.149541,0.000142
-1.149174,0.000150
-1.148808,0.000155
-1.148441,0.000158
-1.148074,0.000161
-1.147708,0.000160
-1.147341,0.000145
-1.146974,0.000108
-1.146607,0.000060
-1.146241,0.000023
-1.145874,0.000011
-1.145507,0.000020
-1.145141,0.000040
-1.144774,0.000056
-1.144407,0.000056
-1.144041,0.000040
-1.143674,0.000022
-1.143307,0.000004
-1.142941,-0.000020
-1.142574,-0.000056
-1.142207,-0.000101
-1.141841,-0.000146
-1.141474,-0.000175
-1.141107,-0.000182
-1.140741,-0.000173
-1.140374,-0.000160
-1.140007,-0.000144
-1.139641,-0.000129
-1.139274,-0.000125
-1.138907,-0.000140
-1.138541,-0.000168
-1.138174,-0.000201
-1.137807,-0.000233
-1.137441,-0.000252
-1.137074,-0.000249
-1.136707,-0.000228
-1.136340,-0.000200
-1.135974,-0.000175
-1.135607,-0.000158
-1.135240,-0.000146
-1.134874,-0.000138
-1.134507,-0.000136
-1.134140,-0.000140
-1.133774,-0.000138
-1.133407,-0.000129
-1.133040,-0.000122
-1.132674,-0.000117
-1.132307,-0.000116
-1.131940,-0.000121
-1.131574,-0.000128
-1.131207,-0.000133
-1.130840,-0.000140
-1.130474,-0.000154
-1.130107,-0.000174
-1.129740,-0.000185
-1.129374,-0.000182
-1.129007,-0.000173
-1.128640,-0.000168
-1.128274,-0.000174
-1.127907,-0.000196
-1.127540,-0.000230
-1.127174,-0.000264
-1.126807,-0.000288
-1.126440,-0.000304
-1.126073,-0.000314
-1.125707,-0.000314
-1.125340,-0.000306
-1.124973,-0.000290
-1.124607,-0.000264
-1.124240,-0.000225
-1.123873,-0.000172
-1.123507,-0.000116
-1.123140,-0.000077
-1.122773,-0.000060
-1.122407,-0.000049
-1.122040,-0.000030
-1.121673,-0.000012
-1.121307,-0.000008
-1.120940,-0.000020
-1.120573,-0.000046
-1.120207,-0.000083
-1.119840,-0.000126
-1.119473,-0.000169
-1.119107,-0.000210
-1.118740,-0.000244
-1.118373,-0.000268
-1.118007,-0.000285
-1.117640,-0.000294
-1.117273,-0.000291
-1.116907,-0.000270
-1.116540,-0.000228
-1.116173,-0.000171
-1.115806,-0.000108
-1.115440,-0.000057
-1.115073,-0.000024
-1.114706,-0.000009
-1.114340,-0.000005
-1.113973,-0.000009
-1.113606,-0.000019
-1.113240,-0.000032
-1.112873,-0.000040
-1.112506,-0.000039
-1.112140,-0.000035
-1.111773,-0.000039
-1.111406,-0.000054
-1.111040,-0.000071
-1.110673,-0.000088
-1.110306,-0.000106
-1.109940,-0.000127
-1.109573,-0.000136
-1.109206,-0.000120
-1.108840,-0.000083
-1.108473,-0.000043
-1.108106,-0.000015
-1.107740,-0.000002
-1.107373,0.000002
-1.107006,0.000003
-1.106640,0.000006
-1.106273,0.000008
-1.105906,0.000003
-1.105539,-0.000015
-1.105173,-0.000054
-1.104806,-0.000113
-1.104439,-0.000184
-1.104073,-0.000260
-1.103706,-0.000325
-1.103339,-0.000369
-1.102973,-0.000391
-1.102606,-0.000400
-1.102239,-0.000406
-1.101873,-0.000402
-1.101506,-0.000378
-1.101139,-0.000345
-1.100773,-0.000323
-1.100406,-0.000316
-1.100039,-0.000315
-1.099673,-0.000311
-1.099306,-0.000298
-1.098939,-0.000280
-1.098573,-0.000264
-1.098206,-0.000249
-1.097839,-0.000224
-1.097473,-0.000185
-1.097106,-0.000148
-1.096739,-0.000133
-1.096373,-0.000141
-1.096006,-0.000155
-1.095639,-0.000167
-1.095272,-0.000178
-1.094906,-0.000194
-1.094539,-0.000217
-1.094172,-0.000241
-1.093806,-0.000255
-1.093439,-0.000258
-1.093072,-0.000262
-1.092706,-0.000275
-1.092339,-0.000298
-1.091972,-0.000325
-1.091606,-0.000352
-1.091239,-0.000376
-1.090872,-0.000391
-1.090506,-0.000391
-1.090139,-0.000375
-1.089772,-0.000357
-1.089406,-0.000351
-1.089039,-0.000356
-1.088672,-0.000358
-1.088306,-0.000358
-1.087939,-0.000372
-1.087572,-0.000406
-1.087206,-0.000443
-1.086839,-0.000460
-1.086472,-0.000456
-1.086106,-0.000440
-1.085739,-0.000420
-1.085372,-0.000398
-1.085005,-0.000367
-1.084639,-0.000324
-1.084272,-0.000274
-1.083905,-0.000224
-1.083539,-0.000188
-1.083172,-0.000176
-1.082805,-0.000183
-1.082439,-0.000192
-1.082072,-0.000195
-1.081705,-0.000200
-1.081339,-0.000217
-1.080972,-0.000239
-1.080605,-0.000252
-1.080239,-0.000253
-1.079872,-0.000255
-1.079505,-0.000263
-1.079139,-0.000273
-1.078772,-0.000274
-1.078405,-0.000259
-1.078039,-0.000231
-1.077672,-0.000203
-1.077305,-0.000184
-1.076939,-0.000172
-1.076572,-0.000163
-1.076205,-0.000160
-1.075839,-0.000170
-1.075472,-0.000192
-1.075105,-0.000216
-1.074738,-0.000229
-1.074372,-0.000232
-1.074005,-0.000235
-1.073638,-0.000249
-1.073272,-0.000278
-1.072905,-0.000320
-1.072538,-0.000369
-1.072172,-0.000413
-1.071805,-0.000439
-1.071438,-0.000449
-1.071072,-0.000454
-1.070705,-0.000459
-1.070338,-0.000456
-1.069972,-0.000436
-1.069605,-0.000401
-1.069238,-0.000363
-1.068872,-0.000328
-1.068505,-0.000294
-1.068138,-0.000263
-1.067772,-0.000234
-1.067405,-0.000204
-1.067038,-0.000174
-1.066672,-0.000148
-1.066305,-0.000133
-1.065938,-0.000149
-1.065572,-0.000198
-1.065205,-0.000268
-1.064838,-0.000342
-1.064471,-0.000401
-1.064105,-0.000424
-1.063738,-0.000407
-1.063371,-0.000363
-1.063005,-0.000308
-1.062638,-0.000260
-1.062271,-0.000234
-1.061905,-0.000228
-1.061538,-0.000221
-1.061171,-0.000198
-1.060805,-0.000167
-1.060438,-0.000140
-1.060071,-0.000115
-1.059705,-0.000086
-1.059338,-0.000052
-1.058971,-0.000025
-1.058605,-0.000019
-1.058238,-0.000041
-1.057871,-0.000076
-1.057505,-0.000110
-1.057138,-0.000132
-1.056771,-0.000141
-1.056405,-0.000142
-1.056038,-0.000140
-1.055671,-0.000123
-1.055305,-0.000077
-1.054938,-0.000011
-1.054571,0.000053
-1.054204,0.000088
-1.053838,0.000087
-1.053471,0.000065
-1.053104,0.000043
-1.052738,0.000041
-1.052371,0.000060
-1.052004,0.000075
-1.051638,0.000064
-1.051271,0.000026
-1.050904,-0.000026
-1.050538,-0.000068
-1.050171,-0.000092
-1.049804,-0.000100
-1.049438,-0.000093
-1.049071,-0.000074
-1.048704,-0.000053
-1.048338,-0.000042
-1.047971,-0.000050
-1.047604,-0.000080
-1.047238,-0.000120
-1.046871,-0.000148
-1.046504,-0.000158
-1.046138,-0.000160
