ppm,val
-1.206729,-0.001471
-1.206362,-0.001392
-1.205996,-0.001330
-1.205629,-0.001342
-1.205262,-0.001420
-1.204896,-0.001506
-1.204529,-0.001539
-1.204162,-0.001498
-1.203796,-0.001409
-1.203429,-0.001319
-1.203062,-0.001274
-1.202696,-0.001305
-1.202329,-0.001408
-1.201962,-0.001540
-1.201596,-0.001669
-1.201229,-0.001784
-1.200862,-0.001877
-1.200496,-0.001936
-1.200129,-0.001953
-1.199762,-0.001949
-1.199396,-0.001961
-1.199029,-0.002004
-1.198662,-0.002073
-1.198296,-0.002153
-1.197929,-0.002226
-1.197562,-0.002258
-1.197195,-0.002228
-1.196829,-0.002148
-1.196462,-0.002043
-1.196095,-0.001929
-1.195729,-0.001824
-1.195362,-0.001731
-1.194995,-0.001623
-1.194629,-0.001492
-1.194262,-0.001367
-1.193895,-0.001296
-1.193529,-0.001317
-1.193162,-0.001423
-1.192795,-0.001566
-1.192429,-0.001692
-1.192062,-0.001789
-1.191695,-0.001899
-1.191329,-0.002040
-1.190962,-0.002190
-1.190595,-0.002330
-1.190229,-0.002474
-1.189862,-0.002604
-1.189495,-0.002656
-1.189129,-0.002623
-1.188762,-0.002571
-1.188395,-0.002533
-1.188028,-0.002486
-1.187662,-0.002424
-1.187295,-0.002367
-1.186928,-0.002337
-1.186562,-0.002317
-1.186195,-0.002263
-1.185828,-0.002172
-1.185462,-0.002091
-1.185095,-0.002057
-1.184728,-0.002056
-1.184362,-0.002072
-1.183995,-0.002117
-1.183628,-0.002206
-1.183262,-0.002332
-1.182895,-0.002474
-1.182528,-0.002604
-1.182162,-0.002711
-1.181795,-0.002799
-1.181428,-0.002869
-1.181062,-0.002906
-1.180695,-0.002889
-1.180328,-0.002810
-1.179962,-0.002678
-1.179595,-0.002527
-1.179228,-0.002404
-1.178862,-0.002340
-1.178495,-0.002344
-1.178128,-0.002386
-1.177761,-0.002413
-1.177395,-0.002406
-1.177028,-0.002391
-1.176661,-0.002395
-1.176295,-0.002401
-1.175928,-0.002362
-1.175561,-0.002258
-1.175195,-0.002122
-1.174828,-0.001995
-1.174461,-0.001868
-1.174095,-0.001705
-1.173728,-0.001513
-1.173361,-0.001352
-1.172995,-0.001281
-1.172628,-0.001306
-1.172261,-0.001385
-1.171895,-0.001475
-1.171528,-0.001554
-1.171161,-0.001601
-1.170795,-0.001611
-1.170428,-0.001603
-1.170061,-0.001603
-1.169695,-0.001653
-1.169328,-0.001776
-1.168961,-0.001944
-1.168595,-0.002113
-1.168228,-0.002265
-1.167861,-0.002398
-1.167494,-0.002499
-1.167128,-0.002552
-1.166761,-0.002559
-1.166394,-0.002545
-1.166028,-0.002535
-1.165661,-0.002537
-1.165294,-0.002542
-1.164928,-0.002534
-1.164561,-0.002501
-1.164194,-0.002428
-1.163828,-0.002332
-1.163461,-0.002272
-1.163094,-0.002312
-1.162728,-0.002457
-1.162361,-0.002645
-1.161994,-0.002790
-1.161628,-0.002850
-1.161261,-0.002842
-1.160894,-0.002803
-1.160528,-0.002779
-1.160161,-0.002816
-1.159794,-0.002927
-1.159428,-0.003071
-1.159061,-0.003217
-1.158694,-0.003352
-1.158328,-0.003474
-1.157961,-0.003586
-1.157594,-0.003690
-1.157227,-0.003797
-1.156861,-0.003912
-1.156494,-0.003999
-1.156127,-0.004006
-1.155761,-0.003940
-1.155394,-0.003853
-1.155027,-0.003817
-1.154661,-0.003876
-1.154294,-0.004023
-1.153927,-0.004205
-1.153561,-0.004375
-1.153194,-0.004526
-1.152827,-0.004642
-1.152461,-0.004706
-1.152094,-0.004738
-1.151727,-0.004767
-1.151361,-0.004778
-1.150994,-0.004739
-1.150627,-0.004643
-1.150261,-0.004504
-1.149894,-0.004367
-1.149527,-0.004309
-1.149161,-0.004343
-1.148794,-0.004416
-1.148427,-0.004476
-1.148061,-0.004496
-1.147694,-0.004455
-1.147327,-0.004337
-1.146960,-0.004172
-1.146594,-0.003999
-1.146227,-0.003824
-1.145860,-0.003650
-1.145494,-0.003519
-1.145127,-0.003486
-1.144760,-0.003555
-1.144394,-0.003663
-1.144027,-0.003754
-1.143660,-0.003832
-1.143294,-0.003914
-1.142927,-0.003996
-1.142560,-0.004065
-1.142194,-0.004131
-1.141827,-0.004207
-1.141460,-0.004274
-1.141094,-0.004295
-1.140727,-0.004296
-1.140360,-0.004337
-1.139994,-0.004418
-1.139627,-0.004488
-1.139260,-0.004517
-1.138894,-0.004508
-1.138527,-0.004452
-1.138160,-0.004323
-1.137794,-0.004141
-1.137427,-0.003962
-1.137060,-0.003841
-1.136693,-0.003786
-1.136327,-0.003750
-1.135960,-0.003692
-1.135593,-0.003616
-1.135227,-0.003554
-1.134860,-0.003512
-1.134493,-0.003454
-1.134127,-0.003362
-1.133760,-0.003271
-1.133393,-0.003220
-1.133027,-0.003202
-1.132660,-0.003200
-1.132293,-0.003219
-1.131927,-0.003273
-1.131560,-0.003354
-1.131193,-0.003426
-1.130827,-0.003487
-1.130460,-0.003581
-1.130093,-0.003729
-1.129727,-0.003904
-1.129360,-0.004069
-1.128993,-0.004181
-1.128627,-0.004220
-1.128260,-0.004217
-1.127893,-0.004220
-1.127527,-0.004255
-1.127160,-0.004322
-1.126793,-0.004403
-1.126426,-0.004474
-1.126060,-0.004523
-1.125693,-0.004557
-1.125326,-0.004596
-1.124960,-0.004665
-1.124593,-0.004778
-1.124226,-0.004943
-1.123860,-0.005124
-1.123493,-0.005241
-1.123126,-0.005250
-1.122760,-0.005180
-1.122393,-0.005086
-1.122026,-0.004992
-1.121660,-0.004881
-1.121293,-0.004743
-1.120926,-0.004612
-1.120560,-0.004529
-1.120193,-0.004495
-1.119826,-0.004478
-1.119460,-0.004455
-1.119093,-0.004425
-1.118726,-0.004405
-1.118360,-0.004428
-1.117993,-0.004510
-1.117626,-0.004636
-1.117260,-0.004777
-1.116893,-0.004900
-1.116526,-0.004978
-1.116159,-0.004999
-1.115793,-0.004991
-1.115426,-0.005003
-1.115059,-0.005072
-1.114693,-0.005199
-1.114326,-0.005315
-1.113959,-0.005320
-1.113593,-0.005183
-1.113226,-0.004973
-1.112859,-0.004804
-1.112493,-0.004752
-1.112126,-0.004785
-1.111759,-0.004807
-1.111393,-0.004767
-1.111026,-0.004692
-1.110659,-0.004634
-1.110293,-0.004645
-1.109926,-0.004763
-1.109559,-0.004958
-1.109193,-0.005141
-1.108826,-0.005247
-1.108459,-0.005269
-1.108093,-0.005245
-1.107726,-0.005213
-1.107359,-0.005190
-1.106993,-0.005197
-1.106626,-0.005257
-1.106259,-0.005379
-1.105892,-0.005543
-1.105526,-0.005675
-1.105159,-0.005702
-1.104792,-0.005611
-1.104426,-0.005455
-1.104059,-0.005321
-1.103692,-0.005270
-1.103326,-0.005286
-1.102959,-0.005291
-1.102592,-0.005240
-1.102226,-0.005142
-1.101859,-0.005031
-1.101492,-0.004938
-1.101126,-0.004863
-1.100759,-0.004792
-1.100392,-0.004726
-1.100026,-0.004675
-1.099659,-0.004647
-1.099292,-0.004626
-1.098926,-0.004590
-1.098559,-0.004551
-1.098192,-0.004535
-1.097826,-0.004553
-1.097459,-0.004612
-1.097092,-0.004693
-1.096726,-0.004774
-1.096359,-0.004843
-1.095992,-0.004908
-1.095625,-0.004987
-1.095259,-0.005066
-1.094892,-0.005094
-1.094525,-0.005070
-1.094159,-0.005013
-1.093792,-0.004925
-1.093425,-0.004825
-1.093059,-0.004749
-1.092692,-0.004705
-1.092325,-0.004688
-1.091959,-0.004708
-1.091592,-0.004759
-1.091225,-0.004826
-1.090859,-0.004918
-1.090492,-0.005036
-1.090125,-0.005159
-1.089759,-0.005251
-1.089392,-0.005270
-1.089025,-0.005205
-1.088659,-0.005090
-1.088292,-0.004991
-1.087925,-0.004966
-1.087559,-0.005028
-1.087192,-0.005151
-1.086825,-0.005305
-1.086459,-0.005449
-1.086092,-0.005571
-1.085725,-0.005694
-1.085358,-0.005803
-1.084992,-0.005823
-1.084625,-0.005710
-1.084258,-0.005495
-1.083892,-0.005234
-1.083525,-0.004957
-1.083158,-0.004685
-1.082792,-0.004447
-1.082425,-0.004268
-1.082058,-0.004185
-1.081692,-0.004221
-1.081325,-0.004341
-1.080958,-0.004466
-1.080592,-0.004566
-1.080225,-0.004662
-1.079858,-0.004753
-1.079492,-0.004833
-1.079125,-0.004878
-1.078758,-0.004831
-1.078392,-0.004690
-1.078025,-0.004544
-1.077658,-0.004492
-1.077292,-0.004558
-1.076925,-0.004705
-1.076558,-0.004852
-1.076192,-0.004919
-1.075825,-0.004936
-1.075458,-0.005010
-1.075091,-0.005153
-1.074725,-0.005275
-1.074358,-0.005334
-1.073991,-0.005378
-1.073625,-0.005427
-1.073258,-0.005461
-1.072891,-0.005473
-1.072525,-0.005485
-1.072158,-0.005518
-1.071791,-0.005550
-1.071425,-0.005537
-1.071058,-0.005460
-1.070691,-0.005325
-1.070325,-0.005179
-1.069958,-0.005076
-1.069591,-0.005029
-1.069225,-0.005023
-1.068858,-0.005042
-1.068491,-0.005042
-1.068125,-0.004971
-1.067758,-0.004830
-1.067391,-0.004673
-1.067025,-0.004569
-1.066658,-0.004554
-1.066291,-0.004618
-1.065925,-0.004716
-1.065558,-0.004821
-1.065191,-0.004940
-1.064824,-0.005083
-1.064458,-0.005277
-1.064091,-0.005555
-1.063724,-0.005872
-1.063358,-0.006107
-1.062991,-0.006178
-1.062624,-0.006109
-1.062258,-0.005989
-1.061891,-0.005885
-1.061524,-0.005819
-1.061158,-0.005770
-1.060791,-0.005719
-1.060424,-0.005671
-1.060058,-0.005644
-1.059691,-0.005647
-1.059324,-0.005680
-1.058958,-0.005743
-1.058591,-0.005822
-1.058224,-0.005871
-1.057858,-0.005855
-1.057491,-0.005816
-1.057124,-0.005822
-1.056758,-0.005865
-1.056391,-0.005890
-1.056024,-0.005872
-1.055658,-0.005849
-1.055291,-0.005848
-1.054924,-0.005838
-1.054557,-0.005794
-1.054191,-0.005754
-1.053824,-0.005767
-1.053457,-0.005822
-1.053091,-0.005878
-1.052724,-0.005905
-1.052357,-0.005896
-1.051991,-0.005878
-1.051624,-0.005860
-1.051257,-0.005803
-1.050891,-0.005674
-1.050524,-0.005478
-1.050157,-0.005258
-1.049791,-0.005098
-1.049424,-0.005073
-1.049057,-0.005184
-1.048691,-0.005378
-1.048324,-0.005619
-1.047957,-0.005877
-1.047591,-0.006105
-1.047224,-0.006273
-1.046857,-0.006388
-1.046491,-0.006485
-1.046124,-0.006595
-1.045757,-0.006734
-1.045391,-0.006915
-1.045024,-0.007149
-1.044657,-0.007391
-1.044290,-0.007549
-1.043924,-0.007557
-1.043557,-0.007422
-1.043190,-0.007218
-1.042824,-0.007030
-1.042457,-0.006886
-1.042090,-0.006755
-1.041724,-0.006633
-1.041357,-0.006545
-1.040990,-0.006479
-1.040624,-0.006404
-1.040257,-0.006311
-1.039890,-0.006210
-1.039524,-0.006114
-1.039157,-0.006043
-1.038790,-0.005989
-1.038424,-0.005910
-1.038057,-0.005790
-1.037690,-0.005661
-1.037324,-0.005557
-1.036957,-0.005474
-1.036590,-0.005399
-1.036224,-0.005346
-1.035857,-0.005317
-1.035490,-0.005288
-1.035124,-0.005240
-1.034757,-0.005207
-1.034390,-0.005228
-1.034023,-0.005322
-1.033657,-0.005471
-1.033290,-0.005630
-1.032923,-0.005743
-1.032557,-0.005794
-1.032190,-0.005816
-1.031823,-0.005857
-1.031457,-0.005916
-1.031090,-0.005945
-1.030723,-0.005938
-1.030357,-0.005928
-1.029990,-0.005916
-1.029623,-0.005860
-1.029257,-0.005732
-1.028890,-0.005571
-1.028523,-0.005455
-1.028157,-0.005433
-1.027790,-0.005493
-1.027423,-0.005581
-1.027057,-0.005679
-1.026690,-0.005802
-1.026323,-0.005929
-1.025957,-0.006017
-1.025590,-0.006060
-1.025223,-0.006078
-1.024857,-0.006062
-1.024490,-0.005979
-1.024123,-0.005816
-1.023756,-0.005620
-1.023390,-0.005474
-1.023023,-0.005411
-1.022656,-0.005390
-1.022290,-0.005363
-1.021923,-0.005312
-1.021556,-0.005238
-1.021190,-0.005162
-1.020823,-0.005137
-1.020456,-0.005202
-1.020090,-0.005318
-1.019723,-0.005421
-1.019356,-0.005477
-1.018990,-0.005474
-1.018623,-0.005427
-1.018256,-0.005391
-1.017890,-0.005417
-1.017523,-0.005513
-1.017156,-0.005659
-1.016790,-0.005813
-1.016423,-0.005933
-1.016056,-0.005994
-1.015690,-0.005997
-1.015323,-0.005968
-1.014956,-0.005929
-1.014590,-0.005897
-1.014223,-0.005896
-1.013856,-0.005925
-1.013489,-0.005939
-1.013123,-0.005894
-1.012756,-0.005797
-1.012389,-0.005693
-1.012023,-0.005634
-1.011656,-0.005631
-1.011289,-0.005671
-1.010923,-0.005747
-1.010556,-0.005829
-1.010189,-0.005879
-1.009823,-0.005890
-1.009456,-0.005867
-1.009089,-0.005808
-1.008723,-0.005729
-1.008356,-0.005647
-1.007989,-0.005570
-1.007623,-0.005513
-1.007256,-0.005500
-1.006889,-0.005529
-1.006523,-0.005550
-1.006156,-0.005499
-1.005789,-0.005365
-1.005423,-0.005195
-1.005056,-0.005037
-1.004689,-0.004902
-1.004322,-0.004776
-1.003956,-0.004652
-1.003589,-0.004542
-1.003222,-0.004491
-1.002856,-0.004568
-1.002489,-0.004785
-1.002122,-0.005064
-1.001756,-0.005303
-1.001389,-0.005460
-1.001022,-0.005539
-1.000656,-0.005551
-1.000289,-0.005522
-0.999922,-0.005488
-0.999556,-0.005493
-0.999189,-0.005577
-0.998822,-0.005729
-0.998456,-0.005876
-0.998089,-0.005976
-0.997722,-0.006029
-0.997356,-0.006033
-0.996989,-0.005987
-0.996622,-0.005894
-0.996256,-0.005744
-0.995889,-0.005549
-0.995522,-0.005380
-0.995156,-0.005317
-0.994789,-0.005381
-0.994422,-0.005511
-0.994055,-0.005628
-0.993689,-0.005731
-0.993322,-0.005870
-0.992955,-0.006062
-0.992589,-0.006308
-0.992222,-0.006584
-0.991855,-0.006853
-0.991489,-0.007090
-0.991122,-0.007253
-0.990755,-0.007315
-0.990389,-0.007285
-0.990022,-0.007171
-0.989655,-0.006980
-0.989289,-0.006722
-0.988922,-0.006435
-0.988555,-0.006196
-0.988189,-0.006063
-0.987822,-0.006036
-0.987455,-0.006073
-0.987089,-0.006113
-0.986722,-0.006130
