H,H,H,H,H,H,H,H,H,H,H
1.254,-12.5,-12.5,7.234,7.234,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.254,-12.5,7.234,7.234,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.254,7.234,7.234,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.128,-12.4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.128,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.501,-12.4,4.325,5.87,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.501,8.91,10.028,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.121,-12.4,4.339,6.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.121,5.937,14.056
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.136,-12.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.136
