H,H,H,H,H,H,H,H,H,H,H,H
1.326,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,7.351,7.351,0.0
0.0,1.326,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,7.351,7.351,0.0
0.0,0.0,1.326,0.0,0.0,0.0,0.0,0.0,0.0,7.351,7.351,0.0
0.0,0.0,0.0,2.219,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.219,-14.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.219,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.27,-14.0,-14.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,-14.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.278,-14.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.278,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.923
