H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
2.039,0.0,-12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.334,0.0,-12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.33,0.0
0.0,0.0,0.0,0.0,3.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.33,0.0
0.0,0.0,0.0,0.0,0.0,3.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.33,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.334,0.0,-12.4,0.0,0.0,0.0,0.0,0.0,1.33,1.33,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.334,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.33,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.334,0.0,0.0,0.0,0.0,0.0,1.33,1.33,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.334,-12.4,0.0,0.0,0.0,1.33,1.33,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.334,0.0,0.0,0.0,1.33,1.33,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.334,0.0,0.0,1.33,1.33,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.724,-12.4,1.33,1.33,6.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,1.33,1.33,6.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.532,-12.4,5.49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.536,5.49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.579
