H,H,H,H,H,H,H,H,H
5.164,1.797,17.447,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.16,9.967,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.023,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,6.891,7.451,0.0,0.0,7.813,1.285
0.0,0.0,0.0,0.0,7.136,0.0,0.0,1.43,8.199
0.0,0.0,0.0,0.0,0.0,3.413,-12.4,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.422,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.113,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.812
