H,H,H,H,H,H,H,H,H,H,H
2.961,-12.5,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.961,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.961,-12.5,-12.5,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.961,-12.5,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.961,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.437,-13.041,6.144,9.63,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.519,10.675,5.349,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,-14.304,6.845
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.364,6.089
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84
