H,H,H,H,H,H,H,H
2.958,-14.0,0.0,0.0,0.0,0.0,7.08,7.08
0.0,2.958,0.0,0.0,0.0,0.0,7.08,7.08
0.0,0.0,7.959,1.5,8.58,0.0,0.0,0.0
0.0,0.0,0.0,7.959,0.0,8.58,0.0,0.0
0.0,0.0,0.0,0.0,7.741,1.5,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.741,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.756,-14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.756
