H,H,H,H,H,H,H
7.444,7.798,7.798,0.0,0.0,0.0,0.0
0.0,7.522,1.5,8.024,0.0,0.0,0.0
0.0,0.0,7.522,0.0,8.024,0.0,0.0
0.0,0.0,0.0,7.78,1.5,0.0,0.0
0.0,0.0,0.0,0.0,7.78,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.508,0.0
0.0,0.0,0.0,0.0,0.0,0.0,8.212
