H,H,H,H,H,H,H,H,H,H,H
3.894,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.894,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.422,8.494,8.494,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.498,1.5,8.12,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.498,0.0,8.12,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.784,1.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.784,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.732,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.771,-14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.771
