H,H,H,H,H,H,H
2.525,-14.0,-14.0,0.0,0.0,0.0,0.0
0.0,2.525,-14.0,0.0,0.0,0.0,0.0
0.0,0.0,2.525,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.117,3.558,5.405,0.0
0.0,0.0,0.0,0.0,7.346,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.39,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.733
