H,H,H,H,H,H
2.519,-14.0,-14.0,0.0,0.0,0.0
0.0,2.519,-14.0,0.0,0.0,0.0
0.0,0.0,2.519,0.0,0.0,0.0
0.0,0.0,0.0,6.359,9.328,1.987
0.0,0.0,0.0,0.0,7.709,0.0
0.0,0.0,0.0,0.0,0.0,6.18
