H,H,H,H,H,H
2.174,-14.0,8.45,8.45,7.63,7.63
0.0,2.174,8.45,8.45,7.63,7.63
0.0,0.0,2.88,-14.0,0.0,0.0
0.0,0.0,0.0,2.88,0.0,0.0
0.0,0.0,0.0,0.0,3.681,-14.0
0.0,0.0,0.0,0.0,0.0,3.681
