H,H,H,H,H
7.744,8.592,0.0,0.0,1.52
0.0,7.523,0.0,0.0,0.0
0.0,0.0,6.669,3.415,0.0
0.0,0.0,0.0,7.434,0.0
0.0,0.0,0.0,0.0,8.231
