H,H,H,H,H
7.326,7.619,7.619,0.0,0.0
0.0,7.457,1.5,8.401,0.0
0.0,0.0,7.457,0.0,8.401
0.0,0.0,0.0,7.172,1.5
0.0,0.0,0.0,0.0,7.172
