H,H,H,H,H
8.781,5.652,0.0,0.0,0.0
0.0,7.6,0.0,0.0,0.549
0.0,0.0,4.352,-14.0,0.0
0.0,0.0,0.0,4.352,0.0
0.0,0.0,0.0,0.0,9.147
