H,H,H,H,H
7.436,9.431,0.0,0.0,2.657
0.0,7.898,0.0,0.0,0.0
0.0,0.0,8.69,2.056,0.0
0.0,0.0,0.0,8.575,0.0
0.0,0.0,0.0,0.0,7.203
