H,H,H,H,H
3.689,-12.0,6.264,6.222,0.0
0.0,3.689,5.173,7.038,0.0
0.0,0.0,2.431,-12.0,0.0
0.0,0.0,0.0,2.431,0.0
0.0,0.0,0.0,0.0,2.01
