H,H,H,H,H
3.833,-14.0,-14.0,0.0,0.0
0.0,3.833,-14.0,0.0,0.0
0.0,0.0,3.833,0.0,0.0
0.0,0.0,0.0,7.735,2.925
0.0,0.0,0.0,0.0,6.518
