H,H,H,H,H,H
2.486,-14.0,-14.0,0.0,0.0,0.0
0.0,2.486,-14.0,0.0,0.0,0.0
0.0,0.0,2.486,0.0,0.0,0.0
0.0,0.0,0.0,7.208,8.124,5.26
0.0,0.0,0.0,0.0,7.852,1.51
0.0,0.0,0.0,0.0,0.0,8.41
