H,H,H,H,H
2.359,-14.0,-14.0,0.0,0.0
0.0,2.359,-14.0,0.0,0.0
0.0,0.0,2.359,0.0,0.0
0.0,0.0,0.0,7.029,10.801
0.0,0.0,0.0,0.0,7.515
