H,H,H,H,H,H,H,H,H,H,H
3.243,7.2,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.243,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.243,7.2,-14.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.243,7.2,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.243,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5.457,6.81,6.81,1.5,1.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.669,1.5,6.55,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.669,0.5,6.55
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.884,1.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.884
