H,H,H,H,H
7.178,3.555,5.076,0.0,0.0
0.0,7.476,0.0,0.0,0.0
0.0,0.0,7.536,0.0,0.0
0.0,0.0,0.0,7.356,0.4
0.0,0.0,0.0,0.0,8.154
