H,H,H,H,H,H,H,H,H,H,H,H
7.274,7.229,7.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.345,1.5,0.0,7.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.345,0.0,0.0,7.662,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,6.584,0.0,0.0,3.66,0.0,0.0,0.0,0.0,1.999
0.0,0.0,0.0,0.0,7.303,1.5,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.303,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.064,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.913,-14.0,7.036,7.036,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.913,7.036,7.036,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.626,-14.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.626,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.618
