H,H,H,H,H
6.58,3.521,0.0,0.0,1.862
0.0,6.785,0.0,0.0,0.0
0.0,0.0,7.501,4.016,0.0
0.0,0.0,0.0,7.305,0.0
0.0,0.0,0.0,0.0,7.566
