H,H,H,H,H,H,H,H,H,H,H,H
1.26,7.83,7.83,6.94,6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.247,7.83,6.94,6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.253,6.94,6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.126,10.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.39,6.81,6.55,1.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.423,1.5,6.55,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.153,0.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.526,14.92,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.527,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.239
