H,H,H,H,H,H,H,H
7.464,7.388,7.5,0.0,0.0,0.0,0.0,0.0
0.0,7.745,0.0,7.363,0.0,0.0,0.0,0.0
0.0,0.0,7.725,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.63,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.202,-14.0,5.719,5.719
0.0,0.0,0.0,0.0,0.0,3.202,5.719,5.719
0.0,0.0,0.0,0.0,0.0,0.0,2.771,-14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.771
