H,H,H,H,H
7.028,3.38,5.3,0.0,0.0
0.0,7.076,0.0,0.0,0.0
0.0,0.0,7.36,0.0,0.0
0.0,0.0,0.0,4.968,14.01
0.0,0.0,0.0,0.0,4.986
