H,H,H,H,H
7.246,7.52,8.721,0.0,0.0
0.0,7.493,0.0,8.721,0.0
0.0,0.0,7.657,0.0,0.0
0.0,0.0,0.0,7.878,0.0
0.0,0.0,0.0,0.0,8.16
