H,H,H,H,H,H,H,H,H,H,H,H
3.76,-12.5,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.76,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,8.164,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.219,-15.419,5.122,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.029,9.149,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.484,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.215,-13.845,7.15,7.411
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.197,6.276,7.08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.653,-16.302
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.704
