H,H,H,H,H,H,H,H,H,H,H
1.503,-14.0,9.144,9.144,7.387,7.387,0.0,0.0,0.0,0.0,0.0
0.0,1.503,9.144,9.144,7.387,7.387,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.926,-14.0,0.0,0.0,7.387,7.387,0.0,0.0,0.0
0.0,0.0,0.0,1.926,0.0,0.0,7.387,7.387,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.569,-14.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.569,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.301,-14.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.301,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.912,0.5,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.893,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.247
