H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
1.089,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,7.619,7.619,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.089,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,7.619,7.619,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.089,0.0,0.0,0.0,0.0,0.0,0.0,7.619,7.619,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.089,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,7.619,7.619,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.089,-14.0,0.0,0.0,0.0,0.0,0.0,7.619,7.619,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.089,0.0,0.0,0.0,0.0,0.0,7.619,7.619,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.424,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.424,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,-14.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,-14.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.455,1.5,8.416,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.455,0.0,8.416
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.74,1.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.74
