H,H,H,H,H,H,H,H,H
7.3,7.827,7.827,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.382,1.5,7.827,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.382,0.0,7.827,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.324,1.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.324,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.924,-14.0,7.497,7.497
0.0,0.0,0.0,0.0,0.0,0.0,2.924,7.497,7.497
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.785,-14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.785
