H,H,H,H,H,H,H,H,H,H,H,H
1.291,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.881
0.0,1.291,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.881
0.0,0.0,1.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.881
0.0,0.0,0.0,1.291,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,6.881
0.0,0.0,0.0,0.0,1.291,-14.0,0.0,0.0,0.0,0.0,0.0,6.881
0.0,0.0,0.0,0.0,0.0,1.291,0.0,0.0,0.0,0.0,0.0,6.881
0.0,0.0,0.0,0.0,0.0,0.0,2.366,-14.0,-14.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.366,-14.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.366,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.622,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.393,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.337
