H,H,H,H,H,H,H
3.739,-14.0,-14.0,0.0,0.0,0.0,0.0
0.0,3.739,-14.0,0.0,0.0,0.0,0.0
0.0,0.0,3.739,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.178,0.08,0.0,0.0
0.0,0.0,0.0,0.0,7.06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.775,-14.0
0.0,0.0,0.0,0.0,0.0,0.0,4.775
