H,H,H,H,H,H,H
3.892,-14.0,-14.0,0.0,0.0,0.0,0.0
0.0,3.892,-14.0,0.0,0.0,0.0,0.0
0.0,0.0,3.892,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.821,1.5,9.286,0.0
0.0,0.0,0.0,0.0,7.821,0.0,9.286
0.0,0.0,0.0,0.0,0.0,7.084,1.5
0.0,0.0,0.0,0.0,0.0,0.0,7.084
