H,H,H,H,H,H,H,H,H,H,H,H,H
1.619,-14.0,6.379,6.379,6.379,6.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.619,6.379,6.379,6.379,6.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.761,-14.0,0.0,0.0,0.0,0.0,0.0,7.801,3.711,0.0,0.0
0.0,0.0,0.0,1.761,0.0,0.0,0.0,0.0,0.0,3.711,7.801,0.0,0.0
0.0,0.0,0.0,0.0,1.761,-14.0,0.0,0.0,0.0,0.0,0.0,7.801,3.711
0.0,0.0,0.0,0.0,0.0,1.761,0.0,0.0,0.0,0.0,0.0,3.711,7.801
0.0,0.0,0.0,0.0,0.0,0.0,7.628,9.617,5.066,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.739,1.331,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.236,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.221,-14.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.221,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.221,-14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.221
