H,H,H,H,H,H,H,H,H,H,H,H
0.923,-14.0,-14.0,7.923,7.923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.923,-14.0,7.923,7.923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.923,7.923,7.923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.468,-14.0,7.416,7.416,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.468,7.416,7.416,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.593,-14.0,7.886,7.886,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.593,7.886,7.886,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.476,-14.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.476,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.203,2.161,2.161
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.815,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.611
