H,H,H,H,H,H,H,H,H,H,H
7.047,8.796,0.0,2.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.869,2.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.866,8.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.974,7.803,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.529,9.428,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.586,9.235,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.486,9.879,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,5.573,2.411
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.751,-12.54
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.914
