H,H,H,H,H,H,H,H,H,H
2.207,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.207,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.172,-14.0,0.0,0.0,5.87,5.87,0.0
0.0,0.0,0.0,0.0,3.172,0.0,0.0,5.87,5.87,0.0
0.0,0.0,0.0,0.0,0.0,7.455,8.872,0.0,0.0,1.59
0.0,0.0,0.0,0.0,0.0,0.0,7.726,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.762,-14.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.762,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.777
