H,H,H,H,H
2.521,-14.0,-14.0,0.0,0.0
0.0,2.521,-14.0,0.0,0.0
0.0,0.0,2.521,0.0,0.0
0.0,0.0,0.0,7.524,1.054
0.0,0.0,0.0,0.0,7.553
