H,H,H,H,H,H,H,H
2.503,-14.543,3.766,0.0,6.236,0.0,0.0,0.0
0.0,2.776,5.155,0.0,7.783,0.0,0.0,0.0
0.0,0.0,4.118,2.879,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.611,0.0,0.0,4.229,4.901
0.0,0.0,0.0,0.0,6.287,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.971,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.805,-12.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.751
