H,H,H,H,H,H,H,H,H,H
7.407,7.468,7.468,0.0,0.0,1.56,1.583,0.0,0.0,0.0
0.0,7.439,1.5,0.0,0.0,7.468,0.0,0.0,0.0,0.0
0.0,0.0,7.439,0.0,0.0,0.0,7.468,0.0,0.0,0.0
0.0,0.0,0.0,6.156,7.0,0.0,0.0,2.232,2.232,0.0
0.0,0.0,0.0,0.0,6.156,0.0,0.0,2.232,2.232,0.0
0.0,0.0,0.0,0.0,0.0,7.384,1.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.384,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.755,1.5,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.755,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.823
