H,H,H,H,H
2.805,-14.0,-14.0,0.0,0.0
0.0,2.805,-14.0,0.0,0.0
0.0,0.0,2.805,0.0,0.0
0.0,0.0,0.0,7.864,9.508
0.0,0.0,0.0,0.0,8.395
