H,H,H,H,H,H
2.616,-14.0,-14.0,0.0,0.0,0.0
0.0,2.616,-14.0,0.0,0.0,0.0
0.0,0.0,2.616,0.0,0.0,0.0
0.0,0.0,0.0,7.457,6.325,9.105
0.0,0.0,0.0,0.0,7.288,0.0
0.0,0.0,0.0,0.0,0.0,7.696
