H,H,H,H,H,H,H,H,H,H,H
3.676,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.676,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.247,1.5,7.444,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.247,0.0,7.444,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.787,1.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.787,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.663,15.91,7.204,7.204
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.663,7.204,7.204
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.407,-14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.407
