H,H,H,H,H,H
3.835,-14.0,-14.0,0.0,0.0,0.0
0.0,3.835,-14.0,0.0,0.0,0.0
0.0,0.0,3.835,0.0,0.0,0.0
0.0,0.0,0.0,6.775,8.875,3.147
0.0,0.0,0.0,0.0,7.002,0.0
0.0,0.0,0.0,0.0,0.0,6.943
