H,H,H,H,H,H,H,H,H,H,H
1.255,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.255,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.255,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.255,-14.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.255,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.255,-14.0,-14.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.255,-14.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.255,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.003,14.29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.013
