H,H,H,H,H
2.273,-14.0,-14.0,0.0,0.0
0.0,2.273,-14.0,0.0,0.0
0.0,0.0,2.273,0.0,0.0
0.0,0.0,0.0,6.422,1.933
0.0,0.0,0.0,0.0,7.443
