H,H,H,H,H
7.553,6.982,1.471,8.209,0.0
0.0,7.476,8.462,1.296,0.0
0.0,0.0,8.169,0.0,0.0
0.0,0.0,0.0,8.301,0.0
0.0,0.0,0.0,0.0,7.203
