H,H,H,H,H,H,H,H,H,H,H
1.321,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.098
0.0,1.321,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.098
0.0,0.0,1.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.098
0.0,0.0,0.0,1.321,-14.0,-14.0,0.0,0.0,0.0,0.0,7.098
0.0,0.0,0.0,0.0,1.321,-14.0,0.0,0.0,0.0,0.0,7.098
0.0,0.0,0.0,0.0,0.0,1.321,0.0,0.0,0.0,0.0,7.098
0.0,0.0,0.0,0.0,0.0,0.0,2.644,7.73,7.73,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.644,7.73,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.643,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.478,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.721
