H,H,H,H,H
7.295,1.052,0.0,0.0,0.0
0.0,7.295,0.0,0.0,1.684
0.0,0.0,3.933,-14.0,0.0
0.0,0.0,0.0,3.933,0.0
0.0,0.0,0.0,0.0,7.442
