H,H,H,H,H,H,H,H,H,H,H
0.994,-14.0,-14.0,7.974,7.974,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.994,-14.0,7.974,7.974,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.994,7.974,7.974,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.796,-14.0,0.0,0.0,0.0,0.0,6.986,6.986
0.0,0.0,0.0,0.0,1.796,0.0,0.0,0.0,0.0,6.986,6.986
0.0,0.0,0.0,0.0,0.0,7.727,1.5,8.842,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.727,0.0,8.842,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.099,1.5,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.099,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.091,-14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.091
