H,H,H,H,H,H,H,H,H,H,H
1.239,-14.0,-14.0,7.481,7.481,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.239,-14.0,7.481,7.481,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.239,7.481,7.481,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.176,-14.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.176,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.241,5.692,4.29,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.364,1.808,2.42,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.364,2.833,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.366,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.737,-14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.737
