H,H,H,H,H,H,H,H,H,H,H
7.312,7.947,7.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.338,0.0,7.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.338,0.0,7.947,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.428,1.5,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.428,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.992,3.934,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.759,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.763,-14.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.763,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.405,16.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.405
