H,H,H,H,H,H,H,H,H,H,H,H
1.297,-14.0,3.972,3.067,7.443,7.443,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.297,3.067,2.163,7.443,7.443,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.297,-14.0,0.0,0.0,0.0,0.0,7.443,7.443,0.0,0.0
0.0,0.0,0.0,1.297,0.0,0.0,0.0,0.0,7.443,7.443,0.0,0.0
0.0,0.0,0.0,0.0,1.538,-12.4,7.443,7.443,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.538,7.443,7.443,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.163,-12.4,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.163,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.538,-12.4,7.443,7.443
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.538,7.443,7.443
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.163,-12.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.163
