H,H,H,H,H,H,H,H,H,H,H,H
7.111,1.5,9.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.111,0.0,9.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.674,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.336,-14.0,0.0,0.0,4.856,4.856,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.336,0.0,0.0,4.856,4.856,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.336,-14.0,0.0,0.0,4.856,4.856
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.336,0.0,0.0,4.856,4.856
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.885,-14.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.885,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.885,-14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.885
