H,H,H,H,H,H,H,H,H,H,H
2.157,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.157,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.227,-14.0,0.0,0.0,5.8,5.8,0.0,0.0
0.0,0.0,0.0,0.0,3.227,0.0,0.0,5.8,5.8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.288,-14.0,0.0,0.0,5.8,5.8
0.0,0.0,0.0,0.0,0.0,0.0,3.288,0.0,0.0,5.8,5.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,-14.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,-14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81
