H,H,H,H,H,H
7.506,8.195,8.195,0.0,0.0,0.0
0.0,7.591,0.0,8.195,0.0,0.0
0.0,0.0,7.984,0.0,0.0,0.0
0.0,0.0,0.0,8.068,0.0,0.0
0.0,0.0,0.0,0.0,5.033,-14.0
0.0,0.0,0.0,0.0,0.0,5.033
