H,H,H,H,H,H,H,H,H,H,H
7.364,1.5,9.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.364,0.0,9.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.114,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.49,-16.706,0.0,0.0,0.0,0.0,4.994
0.0,0.0,0.0,0.0,0.0,2.56,0.0,0.0,0.0,0.0,11.511
0.0,0.0,0.0,0.0,0.0,0.0,2.49,-16.706,0.0,0.0,4.994
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.0,0.0,11.511
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.345,14.99,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.363,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4
