H,H,H,H,H,H,H,H,H,H,H
2.76,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.76,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.337,3.817,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.676,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.707,1.5,5.893,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.707,0.0,5.893,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.531,1.5,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.531,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.481,-14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.481
