H,H,H,H,H,H,H,H,H,H,H,H,H,H
1.617,-12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.574,0.0,0.0
0.0,1.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.574,0.0,0.0
0.0,0.0,1.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.574,0.0,0.0
0.0,0.0,0.0,1.677,-12.4,0.0,0.0,0.0,0.0,0.0,0.0,1.622,0.0,0.0
0.0,0.0,0.0,0.0,1.677,0.0,0.0,0.0,0.0,0.0,0.0,1.622,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.677,0.0,0.0,0.0,0.0,0.0,1.622,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.139,-12.4,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.139,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253,-12.4,6.439,7.658,7.658
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253,6.439,7.658,7.658
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.063,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.456,-12.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.456
