H,H,H,H,H,H
7.569,6.919,6.919,0.0,0.0,0.0
0.0,7.602,1.5,9.574,0.0,0.0
0.0,0.0,7.602,0.0,0.0,0.0
0.0,0.0,0.0,7.794,0.0,0.0
0.0,0.0,0.0,0.0,9.118,7.747
0.0,0.0,0.0,0.0,0.0,6.531
