H,H,H,H,H,H,H
2.396,-14.0,-14.0,0.0,0.0,0.0,0.0
0.0,2.396,-14.0,0.0,0.0,0.0,0.0
0.0,0.0,2.396,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.174,7.85,7.85,0.0
0.0,0.0,0.0,0.0,6.884,0.0,7.85
0.0,0.0,0.0,0.0,0.0,6.906,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.394
